SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
script/downloader	FLATTEN_DOWNLOADS	exact integer 1 enables; unset or 0 preserves normal shard paths	Move downloaded Hugging Face files from nested cache paths into the requested output directory.	download_model.sh:244
script/downloader	FORCE_HF_DOWNLOAD	exact integer 1 enables; unset or 0 uses the available downloader automatically	Force download_model.sh to use hf download instead of curl when available.	download_model.sh:216
script/downloader	HF_TOKEN	secret string; unset tries cached Hugging Face token or unauthenticated download	Authenticate Hugging Face downloads.	download_model.sh:28
script/downloader	HOME	Filesystem directory string. In ds4-agent, unset or empty falls back to "." for the default cache and history roots; the web helper applies the same fallback for its browser profile. A nonempty value roots .ds4/kvcache, .ds4_agent_history and .ds4/browser.	Choose the user's persistent ds4-agent cache, line-history and Chrome-profile base directory.	ds4_agent.c:4026
script/quality-collector	<NAME_FROM_--api-key-env>	dynamic environment-variable name; no fixed identifier; overrides endpoint-derived key name	Allow a caller-selected credential environment variable.	gguf-tools/quality-testing/collect_official.py:243
script/quality-collector	DEEPSEEK_API_KEY	secret string; default credential for non-OpenRouter endpoint; required unless --api-key-env selects another name	Authenticate official DeepSeek continuation collection.	gguf-tools/quality-testing/collect_official.py:242
script/quality-collector	OPENROUTER_API_KEY	secret string; default credential when endpoint contains openrouter.ai; required unless --api-key-env selects another name	Authenticate OpenRouter continuation collection.	gguf-tools/quality-testing/collect_official.py:242
script/server-wrapper	DS4_BATCHED_SESSIONS	unset/empty defaults to 16; otherwise passed verbatim to --batched-session; the wrapper does not validate it	Sets the maximum batched-session count for the managed CUDA tensor-parallel server.	run-nvidia-tp-server.sh:14
script/server-wrapper	DS4_CTX	unset/empty defaults to 100000; otherwise passed verbatim to --ctx; the wrapper does not validate it	Sets the managed server context size.	run-nvidia-tp-server.sh:9
script/server-wrapper	DS4_KV_DIR	directory path; unset/empty defaults to /data/ds4-kv	Sets --kv-disk-dir for the managed server disk-backed KV cache.	run-nvidia-tp-server.sh:12
script/server-wrapper	DS4_KV_SPACE_MB	unset/empty defaults to 8192; otherwise passed verbatim to --kv-disk-space-mb; the wrapper does not validate it	Sets the managed server disk-KV capacity in MiB.	run-nvidia-tp-server.sh:13
script/server-wrapper	DS4_LOCK_FILE	lock-file path; unset/empty defaults to /tmp/ds4.lock	Selects the PID/instance lock inspected by start, stop, restart, and status; an explicit environment value is inherited by ds4-server.	run-nvidia-tp-server.sh:15
script/server-wrapper	DS4_MODEL	model path; unset/empty defaults to /home/antirez/models/deepseek-v4-gguf/DeepSeek-V4-Flash-MXFP4Experts-F16HC-F16Compressor-F16Indexer-Q8Attn-Q8Shared-Q8Out-chat-v2-mxfp4-0731.gguf; unreadable paths fail	Sets the target GGUF passed to the managed CUDA tensor-parallel server.	run-nvidia-tp-server.sh:8
script/server-wrapper	DS4_SERVER_HOST	host string; unset/empty defaults to 0.0.0.0	Sets the HTTP listen address passed to the managed server.	run-nvidia-tp-server.sh:10
script/server-wrapper	DS4_SERVER_LOG	log-file path; unset/empty defaults to /tmp/ds4-server.log	Receives detached-server stdout/stderr and supplies the readiness probe and failure tail.	run-nvidia-tp-server.sh:16
script/server-wrapper	DS4_SERVER_PORT	unset/empty defaults to 8000; otherwise passed verbatim to --port; the wrapper does not validate it	Sets the HTTP listen port passed to the managed server.	run-nvidia-tp-server.sh:11
script/server-wrapper	DS4_START_TIMEOUT	positive decimal integer with no leading zero; unset/empty defaults to 180; invalid values fail when starting	Sets how many seconds detached startup waits for the lock owner and listening log marker.	run-nvidia-tp-server.sh:17
script/server-wrapper	DS4_STOP_TIMEOUT	positive decimal integer with no leading zero; unset/empty defaults to 120; invalid values fail when stopping	Sets how many seconds graceful stop waits after SIGTERM before failing.	run-nvidia-tp-server.sh:18
test-only	DS4_CUDA_TOPK_REGRESSION_SEC	positive floating-point seconds; default 2.0; invalid or nonpositive input restores the default	Set the CUDA large-top-k elapsed-time regression limit.	tests/cuda_long_context_smoke.c:72
test-only	DS4_METAL_MOE_TILE_MAX	cleanup-only historical spelling; no production consumer exists, so setting it has no runtime effect	Clears a legacy Metal MoE tile override while preparing the test environment.	tests/ds4_test.c:7516
test-only	DS4_ROCM_ENABLE_Q4_PREFILL_TILE8	cleanup-only legacy spelling; no runtime or test reader; setting it has no effect	Remove a stale opt-in name while preparing ROCm Q4 test cases; TILE8 is automatic.	tests/test_rocm_q4_dense_pair.cpp:58
test-only	DS4_TEST_ALLOW_FALLBACK	presence flag; unset: native mixed path required; any defined value including empty or 0 permits exactly the serialized-fallback counter outcome	Lets the CUDA mixed prefill/decode oracle accept serialized fallback while retaining bit-exact logit comparisons.	tests/test_cuda_mixed_batch.c:204
test-only	DS4_TEST_BACKEND	exact cpu selects CPU; every other value, including unset/empty, selects Metal on Apple and CUDA elsewhere	Chooses the backend used by model-backed tests in tests/ds4_test.c.	tests/ds4_test.c:91
test-only	DS4_TEST_BATCH_ONLY	presence flag; unset: run batched and isolated-control phases; any defined value including empty or 0 stops after the batched archive/hash phase	Runs only the CUDA session-batch phase and skips replay against isolated control sessions.	tests/test_cuda_session_batch.c:288
test-only	DS4_TEST_CONTEXT	CUDA session/mixed fixtures default to 1024 and require 1024..65536; mixed-batch uses strict full decimal parsing, while session-batch uses atoi and therefore accepts numeric prefixes	Sets the context and placement hint for the CUDA session-batch and mixed prefill/decode oracles.	tests/test_cuda_session_batch.c:125
test-only	DS4_TEST_DSPARK	nonempty DSpark support-GGUF path; unset/empty skips the DSpark verify-depth test	Loads the DSpark support model for teacher-forced verification of committed speculative tokens.	tests/ds4_test.c:8563
test-only	DS4_TEST_GPU_DEVICES	GPU device-list string parsed with the normal auto-VRAM parser; unset/empty defaults to 0,2,4,6,1,3,5,7; parse failure is fatal	Selects and orders the CUDA TP/EP devices used by the mixed prefill/decode oracle.	tests/test_cuda_mixed_batch.c:122
test-only	DS4_TEST_LOCAL_GOLDEN_FILE	nonempty readable fixture path; unset/empty defaults to tests/test-vectors/flash-0731/local-golden.vec	Selects the local-golden vector file used for model-logit regression checks.	tests/ds4_test.c:7501
test-only	DS4_TEST_LOGPROB_AUTO_METAL	presence flag; unset forces DS4_METAL_DISABLE_METAL4=1; any presence including empty or 0 removes that rollback and permits automatic Metal selection	Runs official log-probability vectors with automatic Metal-path selection instead of the fixed pre-Metal4 baseline.	tests/ds4_test.c:7235
test-only	DS4_TEST_LONG_PROMPT	nonempty readable prompt-file path; unset/empty defaults to tests/long_context_story_prompt.txt	Selects the rendered story prompt for the long-context fact-recall test.	tests/ds4_test.c:6970
test-only	DS4_TEST_LONG_WORDS	atoi integer; unset/empty/nonnumeric defaults to 0; valid range is 0..DS4_TEST_CONTEXT-128 and numeric prefixes are accepted	Adds repeated words to alternating CUDA session-batch prompts to exercise long-prefill rows.	tests/test_cuda_session_batch.c:135
test-only	DS4_TEST_METAL_EXACTN_BATCH_HEAD	nonempty value other than exact 0 enables; unset/empty/0 disables; false/off also enable	Enables the Metal exact-N batch-head path and requires its attempt/use counters for every eligible oracle case.	tests/test_metal_exactn_oracle.c:401
test-only	DS4_TEST_METAL_EXACTN_ORACLE	presence flag compiled only with DS4_TEST_HOOKS; absent from normal production builds	Force allocation of the exact-N Metal verifier/oracle workspace in tests.	ds4.c:62259
test-only	DS4_TEST_MIXED_INITIAL	integer 128..context-1; default 128	Set the initial prefill length for the CUDA mixed-batch oracle.	tests/test_cuda_mixed_batch.c:111
test-only	DS4_TEST_MIXED_QUANTUM	integer 1..context-1; default 128	Set the number of prompt tokens added per CUDA mixed-batch round.	tests/test_cuda_mixed_batch.c:113
test-only	DS4_TEST_MIXED_ROUNDS	integer 1..64; default 3	Set the number of CUDA mixed-batch oracle rounds.	tests/test_cuda_mixed_batch.c:115
test-only	DS4_TEST_MODEL	nonempty GGUF path; tests/ds4_test.c defaults to ds4flash.gguf, while standalone model-backed CUDA/Metal fixtures generally require a supplied path and fail or skip when absent	Selects the target model shared by model-backed test binaries.	tests/ds4_test.c:14
test-only	DS4_TEST_MPP_EQ_CASE	comma-separated substring filter; unset/empty runs all cases; tokens are whitespace-trimmed and the filter is truncated to 255 bytes	Restricts Metal tensor-equivalence vectors to IDs containing at least one requested substring.	tests/ds4_test.c:7805
test-only	DS4_TEST_MTP	nonempty MTP support-GGUF path; unset/empty loads no MTP head; only the fast test engine uses it, with draft depth 4	Enables the legacy MTP verify-depth regression; the test self-skips without this model.	tests/ds4_test.c:104
test-only	DS4_TEST_Q4_STREAM_ITERS	integer 1..10000; default 2	Set measured iterations for the Metal Q4 stream oracle.	tests/test_metal_q4_streams.c:734
test-only	DS4_TEST_Q4_STREAM_SOAK	integer 1..100000; default 8	Set bounded overlap-soak iterations for the Metal Q4 stream oracle.	tests/test_metal_q4_streams.c:736
test-only	DS4_TEST_Q4_STREAM_TIMING	presence flag; unset: correctness/leak checks only; any defined value including empty or 0 also runs timing pairs	Adds FIFO-versus-overlap and native-versus-overlap timing measurements to the Metal Q4 stream oracle.	tests/test_metal_q4_streams.c:737
test-only	DS4_TEST_Q4_STREAM_TIMING_BLOCKS	integer 5..MAX_TIMING_BLOCKS; default 5	Set the timing block count for the Metal Q4 stream oracle.	tests/test_metal_q4_streams.c:739
test-only	DS4_TEST_Q4_STREAM_TIMING_ITERS	integer 1..10000; default 20	Set timing iterations for the Metal Q4 stream oracle.	tests/test_metal_q4_streams.c:741
test-only	DS4_TEST_Q4_STREAM_WARMUP	integer 1..64; default 1	Set warmup iterations for the Metal Q4 stream oracle.	tests/test_metal_q4_streams.c:732
test-only	DS4_TEST_REQUIRE_MODEL	nonempty value other than exact 0 requires a readable model; unset/empty/0 permits a skip; false/off count as required	Turns a missing Metal exact-N oracle model from a developer skip into a release-gate failure.	tests/test_metal_exactn_oracle.c:390
test-only	DS4_TEST_REQUIRE_ROCM_DEVICE	nonempty value other than exact 0 requires a visible ROCm device; unset/empty/0 returns the fixture skip code; false/off count as required	Turns absence of a ROCm device from a skip into failure for the ROCm Q4 oracle.	tests/test_rocm_q4_dense_pair.cpp:1569
test-only	DS4_TEST_SERVER_PREFILL	presence flag; unset: normal prefill; any defined value including empty or 0 installs a no-op display-progress callback	Exercises the progress-split prefill path used by ds4-server in CUDA session-batch and control sessions.	tests/test_cuda_session_batch.c:110
test-only	DS4_TEST_SESSION_BATCH_ARM	arbitrary nonempty label; unset/empty defaults to unspecified; it is logged only and does not alter execution	Labels the Metal session-batch experiment arm in setup diagnostics.	tests/test_metal_session_batch.c:153
test-only	DS4_TEST_SESSION_BATCH_TIMING	nonempty boolean; unset/empty/exact 0 disables; every other value enables	Print timing data from the Metal session-batch oracle.	tests/test_metal_session_batch.c:150
test-only	DS4_TEST_SESSION_COUNT	fixture-specific integer: CUDA session-batch defaults 8 and accepts atoi 2..16; CUDA mixed-batch defaults 8 with strict 3..16; Metal session-batch defaults 2 with strict 2..16	Sets the number of simultaneous sessions exercised by the model-backed batch oracles.	tests/test_cuda_session_batch.c:113
test-only	DS4_TEST_SSD_CACHE_EXPERTS	strict unsigned integer 30..UINT32_MAX; unset/empty defaults to 30; read only when Metal session-batch SSD streaming is enabled	Sizes the Metal session-batch routed-expert cache used to exercise SSD union policies for N=2..5.	tests/test_metal_session_batch.c:88
test-only	DS4_TEST_SSD_STREAMING	nonempty value other than exact 0 enables; unset/empty/0 disables; false/off also enable	Runs model-backed test engines through SSD streaming; the Metal session-batch fixture also uses cold mode and shared prefill workspace.	tests/ds4_test.c:109
test-only	DS4_TEST_SSD_STREAMING_CACHE_EXPERTS	strtoul decimal prefix; unset/empty/nonnumeric becomes 0, values above UINT32_MAX (including a parsed negative) saturate, and trailing text is accepted	Sets the routed-expert cache count on SSD-streaming engines created by tests/ds4_test.c.	tests/ds4_test.c:112
test-only	DS4_TEST_SSD_STREAMING_CACHE_GB	strtoull decimal GiB prefix; unset/empty/nonnumeric/zero becomes 0, byte overflow (including a parsed negative) saturates to UINT64_MAX, and trailing text is accepted	Sets the routed-expert cache byte budget on SSD-streaming engines created by tests/ds4_test.c.	tests/ds4_test.c:114
test-only	DS4_TEST_SSD_STREAMING_COLD	nonempty boolean; unset/empty/exact 0 disables; every other value enables	Run test engines in cold SSD-streaming mode and skip hot-expert preload.	tests/ds4_test.c:110
test-only	DS4_TEST_SSD_STREAMING_PRELOAD_EXPERTS	unsigned integer; default 0; numeric prefixes are accepted and overflow clamps to UINT32_MAX	Set the number of SSD-streaming experts preloaded by test engines.	tests/ds4_test.c:116
test-only	DS4_TEST_SSD_UNION_POLICY_SWITCH	nonempty boolean; unset/empty/exact 0 disables; every other value enables	Exercise an SSD session-union policy transition in the Metal session-batch oracle.	tests/test_metal_session_batch.c:152
test-only	DS4_TEST_TP_DISCONNECT	presence flag effective only in leader mode; unset: normal test; any defined value including empty or 0 enters the disconnect oracle	Waits for the TP worker to disconnect, then requires the next batch to fail and every session checkpoint to be invalidated.	tests/test_metal_session_batch.c:268
test-only	DS4_TEST_TP_LEADER_HOST	nonempty host string required in worker mode; no default; ignored outside worker mode	Sets the TP leader address contacted by the Metal session-batch worker.	tests/test_metal_session_batch.c:212
test-only	DS4_TEST_TP_LISTEN_HOST	nonempty host string; unset/empty defaults to 0.0.0.0; used only in leader mode	Sets the TP listen address for the Metal session-batch leader.	tests/test_metal_session_batch.c:204
test-only	DS4_TEST_TP_MODE	unset/empty: no TP; exact leader or worker selects that role; every other nonempty value fails; incompatible with SSD-streaming mode	Selects standalone, TP-leader, or TP-worker execution for the Metal session-batch oracle.	tests/test_metal_session_batch.c:168
test-only	DS4_TEST_TP_PORT	strict full decimal integer 1..65535; unset/empty defaults to 19452	Sets the listen/connect port shared by Metal session-batch TP leader and worker.	tests/test_metal_session_batch.c:63
test-only	DS4_TEST_TP_TRANSPORT	unset/empty/auto selects automatic transport; exact tcp or rdma selects that transport; other values fail	Chooses the TP transport for Metal session-batch leader/worker tests.	tests/test_metal_session_batch.c:52
test-only	DS4_TEST_VECTOR_FILE	nonempty readable vector path; unset/empty defaults to tests/test-vectors/flash-0731/official.vec	Selects the official fixture used by log-probability and Metal tensor-equivalence tests.	tests/ds4_test.c:7222
